     Temperature<1>          Density<2>        Viscosity<3>        ThermCond<4>               Cp<5>         DiffCoeff<6>
   8.30000E+002   9.47333E+001   1.48953E-005   7.15634E-002   3.16207E+003   8.18101E-007
   8.40000E+002   9.36055E+001   1.50554E-005   7.32467E-002   3.18050E+003   8.35315E-007
   8.50000E+002   9.25043E+001   1.52149E-005   7.49496E-002   3.19862E+003   8.52667E-007
   8.60000E+002   9.14286E+001   1.53739E-005   7.66723E-002   3.21644E+003   8.70155E-007
   8.70000E+002   9.03777E+001   1.55324E-005   7.84147E-002   3.23397E+003   8.87780E-007
   8.80000E+002   8.93507E+001   1.56903E-005   8.01770E-002   3.25120E+003   9.05539E-007
   8.90000E+002   8.83468E+001   1.58478E-005   8.19590E-002   3.26815E+003   9.23434E-007
   9.00000E+002   8.73651E+001   1.60047E-005   8.37609E-002   3.28482E+003   9.41463E-007
   9.10000E+002   8.64051E+001   1.61611E-005   8.55827E-002   3.30121E+003   9.59627E-007
   9.20000E+002   8.54659E+001   1.63170E-005   8.74243E-002   3.31733E+003   9.77923E-007
   9.30000E+002   8.45469E+001   1.64724E-005   8.92859E-002   3.33318E+003   9.96352E-007
   9.40000E+002   8.36475E+001   1.66273E-005   9.11674E-002   3.34877E+003   1.01491E-006
   9.50000E+002   8.27670E+001   1.67818E-005   9.30688E-002   3.36409E+003   1.03361E-006
   9.60000E+002   8.19048E+001   1.69357E-005   9.49903E-002   3.37917E+003   1.05243E-006
   9.70000E+002   8.10604E+001   1.70892E-005   9.69317E-002   3.39399E+003   1.07139E-006
   9.80000E+002   8.02333E+001   1.72422E-005   9.88932E-002   3.40857E+003   1.09047E-006
   9.90000E+002   7.94229E+001   1.73947E-005   1.00875E-001   3.42290E+003   1.10969E-006
   1.00000E+003   7.86286E+001   1.75470E-005   1.02880E-001   3.43700E+003   1.12903E-006
   1.01000E+003   7.78501E+001   1.75470E-005   1.02880E-001   3.45086E+003   1.14851E-006
