Krok,Czas_[ms],Pozycja_Z_[mm],Gestosc_wzgledna_[-],Ulamek_cieczy_Yl_[-],Ulamek_pary_Yv_[-],Predkosc_cieczy_[m/s],Predkosc_gazu_[m/s],Srednica_kropel_SMD_[um],Temp_kropel_[K],Temp_gazu_[K],Promien_strugi_b_[mm]
000000,0.00000,10.3007,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,10.4371,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,10.5736,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,10.7100,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,10.8464,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,10.9829,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.1193,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.2557,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.3922,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.5286,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.6650,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.8015,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,11.9379,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.0743,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.2108,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.3472,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.4836,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.6201,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.7565,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,12.8929,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.0294,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.1658,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.3022,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.4387,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.5751,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.7115,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.8479,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,13.9844,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.1208,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.2572,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.3937,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.5301,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.6665,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.8030,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,14.9394,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.0758,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.2123,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.3487,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.4851,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.6216,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.7580,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,15.8944,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.0309,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.1673,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.3037,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.4402,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.5766,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.7130,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.8495,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,16.9859,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.1223,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.2588,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.3952,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
000000,0.00000,17.5316,0.0021,0.000000,0.000000,0.0000,0.0000,0.0000,0.00,244.78,0.0682
